session ;user;query position;cell hashcode;novelty;outlierness;relevance;surprise;query label;session label
dibstudent04--2016-09-20--15-33.log;dibstudent04;1;-704927382;true;0.19113295680165177;0.0;Infinity;1;B;
dibstudent04--2016-09-20--15-33.log;dibstudent04;1;-730908445;true;0.23022584248021372;0.0;Infinity;1;B;
dibstudent04--2016-09-20--15-33.log;dibstudent04;1;-553603821;true;0.271852892293329;0.0;Infinity;1;B;
dibstudent04--2016-09-20--15-33.log;dibstudent04;1;-1629848280;true;0.3179078954375605;0.0;Infinity;1;B;
dibstudent04--2016-09-20--15-33.log;dibstudent04;1;1694661770;true;0.24453558956361587;0.0;Infinity;1;B;
dibstudent04--2016-09-20--15-33.log;dibstudent04;1;224128283;true;0.35648465965810705;0.0;Infinity;1;B;
dibstudent04--2016-09-20--15-33.log;dibstudent04;1;-1484201213;true;0.44023816176185426;0.0;Infinity;1;B;
dibstudent04--2016-09-20--15-33.log;dibstudent04;1;-928946478;true;4.756652468410616E-4;0.0;Infinity;1;B;
dibstudent04--2016-09-20--15-33.log;dibstudent04;1;-2144304638;true;0.3042838439559836;0.0;Infinity;1;B;
dibstudent04--2016-09-20--15-33.log;dibstudent04;1;2036671131;true;0.34549101914453817;0.0;Infinity;1;B;
dibstudent04--2016-09-20--15-33.log;dibstudent04;1;1001632147;true;0.25840723369364316;0.0;Infinity;1;B;
dibstudent04--2016-09-20--15-33.log;dibstudent04;1;2018966691;true;0.26665726624676644;0.0;Infinity;1;B;
dibstudent04--2016-09-20--15-33.log;dibstudent04;1;1699882590;true;0.22385355316668476;0.0;Infinity;1;B;
dibstudent04--2016-09-20--15-33.log;dibstudent04;1;-502031925;true;0.23177455790657608;0.0;Infinity;1;B;
dibstudent04--2016-09-20--15-33.log;dibstudent04;1;-1770010464;true;0.48403341623061313;0.0;Infinity;1;B;
dibstudent04--2016-09-20--15-33.log;dibstudent04;1;2028136398;true;0.028144226007836726;0.0;Infinity;1;B;
dibstudent04--2016-09-20--15-33.log;dibstudent04;1;-759677850;true;0.30421417455811517;0.0;Infinity;1;B;
dibstudent04--2016-09-20--15-33.log;dibstudent04;1;653565548;true;0.260406881676162;0.0;Infinity;1;B;
dibstudent04--2016-09-20--15-33.log;dibstudent04;1;795232856;true;0.469367970248068;0.0;Infinity;1;B;
dibstudent04--2016-09-20--15-33.log;dibstudent04;1;-403599928;true;0.17284498576912133;0.0;Infinity;1;B;
dibstudent04--2016-09-20--15-33.log;dibstudent04;1;205409254;true;0.19313835969854853;0.0;Infinity;1;B;
dibstudent04--2016-09-20--15-33.log;dibstudent04;1;-673849649;true;0.4798210634337009;0.0;Infinity;1;B;
dibstudent04--2016-09-20--15-33.log;dibstudent04;1;-1481585192;true;0.42022346294980484;0.0;Infinity;1;B;
dibstudent04--2016-09-20--15-33.log;dibstudent04;1;-139887801;true;0.3191970324458381;0.0;Infinity;1;B;
dibstudent04--2016-09-20--15-33.log;dibstudent04;1;-597017857;true;0.29106666516535173;0.0;Infinity;1;B;
dibstudent04--2016-09-20--15-33.log;dibstudent04;1;1517403605;true;0.012349255713597351;0.0;Infinity;1;B;
dibstudent04--2016-09-20--15-33.log;dibstudent04;1;-1036657669;true;1.6018643271886734E-4;0.0;Infinity;1;B;
dibstudent04--2016-09-20--15-33.log;dibstudent04;1;-816773154;true;0.28897436600168436;0.0;Infinity;1;B;
dibstudent04--2016-09-20--15-33.log;dibstudent04;1;296062133;true;0.15704379123270307;0.0;Infinity;1;B;
dibstudent04--2016-09-20--15-33.log;dibstudent04;1;147177087;true;0.3262313672976951;0.0;Infinity;1;B;
dibstudent04--2016-09-20--15-33.log;dibstudent04;1;-466929005;true;0.2741644007963897;0.0;Infinity;1;B;
dibstudent04--2016-09-20--15-33.log;dibstudent04;1;-2052425350;true;0.45492832074335854;0.0;Infinity;1;B;
dibstudent04--2016-09-20--15-33.log;dibstudent04;1;-580779951;true;0.3614997149782886;0.0;Infinity;1;B;
dibstudent04--2016-09-20--15-33.log;dibstudent04;1;1968609857;true;0.3829642896855898;0.0;Infinity;1;B;
dibstudent04--2016-09-20--15-33.log;dibstudent04;1;1295930056;true;0.2742510174416587;0.0;Infinity;1;B;
dibstudent04--2016-09-20--15-33.log;dibstudent04;1;1595862702;true;0.26966259658666214;0.0;Infinity;1;B;
dibstudent04--2016-09-20--15-33.log;dibstudent04;1;-610824544;true;0.2191695558963046;0.0;Infinity;1;B;
dibstudent04--2016-09-20--15-33.log;dibstudent04;1;-59852420;true;0.3833863545574471;0.0;Infinity;1;B;
dibstudent04--2016-09-20--15-33.log;dibstudent04;1;-367563632;true;0.4682814604638803;0.0;Infinity;1;B;
dibstudent04--2016-09-20--15-33.log;dibstudent04;1;205287207;true;0.48686232718207945;0.0;Infinity;1;B;
dibstudent04--2016-09-20--15-33.log;dibstudent04;1;1305045998;true;0.41118525351846014;0.0;Infinity;1;B;
dibstudent04--2016-09-20--15-33.log;dibstudent04;1;-27650566;true;0.3994916683285269;0.0;Infinity;1;B;
dibstudent04--2016-09-20--15-33.log;dibstudent04;1;1441101794;true;0.18716212006092836;0.0;Infinity;1;B;
dibstudent04--2016-09-20--15-33.log;dibstudent04;1;-171034459;true;0.472257586455367;0.0;Infinity;1;B;
dibstudent04--2016-09-20--15-33.log;dibstudent04;1;-1726406642;true;0.3751235438205225;0.0;Infinity;1;B;
dibstudent04--2016-09-20--15-33.log;dibstudent04;1;-957686144;true;0.3652278728850271;0.0;Infinity;1;B;
dibstudent04--2016-09-20--15-33.log;dibstudent04;3;-961057577;true;0.42164706729449;1.0;Infinity;0;B;
dibstudent04--2016-09-20--15-33.log;dibstudent04;3;928533734;true;0.3952621537606982;1.0;Infinity;0;B;
dibstudent04--2016-09-20--15-33.log;dibstudent04;3;996661577;true;0.02430434167783946;1.0;Infinity;0;B;
dibstudent04--2016-09-20--15-33.log;dibstudent04;3;1139969114;true;0.1854081760371501;1.0;Infinity;0;B;
dibstudent04--2016-09-20--15-33.log;dibstudent04;3;-1025138014;true;0.4096151438429255;1.0;Infinity;0;B;
dibstudent04--2016-09-20--15-33.log;dibstudent04;3;1069623828;true;0.3500386024203521;1.0;Infinity;0;B;
dibstudent04--2016-09-20--15-33.log;dibstudent04;4;45229908;true;0.19321874252815907;1.0;Infinity;0;B;
dibstudent04--2016-09-20--15-33.log;dibstudent04;4;-25115378;true;0.20195836579607196;1.0;Infinity;0;B;
dibstudent04--2016-09-20--15-33.log;dibstudent04;4;-166205472;true;0.38148610527158;1.0;Infinity;0;B;
dibstudent04--2016-09-20--15-33.log;dibstudent04;4;-2119877220;true;0.3109919526798828;1.0;Infinity;0;B;
dibstudent04--2016-09-20--15-33.log;dibstudent04;4;-2055796783;true;0.3954196356862073;1.0;Infinity;0;B;
dibstudent04--2016-09-20--15-33.log;dibstudent04;4;-98077629;true;0.03798999051245677;1.0;Infinity;0;B;
dibstudent04--2016-09-20--15-33.log;dibstudent04;5;404634686;true;0.41540163061644564;1.0;Infinity;0;B;
dibstudent04--2016-09-20--15-33.log;dibstudent04;5;545724780;true;0.21147637761418947;1.0;Infinity;0;B;
dibstudent04--2016-09-20--15-33.log;dibstudent04;5;472762529;true;0.05420558905460471;1.0;Infinity;0;B;
dibstudent04--2016-09-20--15-33.log;dibstudent04;5;-1484956625;true;0.308581768256192;1.0;Infinity;0;B;
dibstudent04--2016-09-20--15-33.log;dibstudent04;5;-1549037062;true;0.45135128691202986;1.0;Infinity;0;B;
dibstudent04--2016-09-20--15-33.log;dibstudent04;5;616070066;true;0.11265717860573399;1.0;Infinity;0;B;
dibstudent04--2016-09-20--15-33.log;dibstudent04;6;184337257;true;0.06491413429059723;1.0;Infinity;0;B;
dibstudent04--2016-09-20--15-33.log;dibstudent04;6;116209414;true;0.4152751131649318;1.0;Infinity;0;B;
dibstudent04--2016-09-20--15-33.log;dibstudent04;6;-1773381897;true;0.3102249152704797;1.0;Infinity;0;B;
dibstudent04--2016-09-20--15-33.log;dibstudent04;6;327644794;true;0.07397765961227964;1.0;Infinity;0;B;
dibstudent04--2016-09-20--15-33.log;dibstudent04;6;257299508;true;0.2962140417150032;1.0;Infinity;0;B;
dibstudent04--2016-09-20--15-33.log;dibstudent04;6;-1837462334;true;0.4261769559220675;1.0;Infinity;0;B;
dibstudent04--2016-09-25--11-53.log;dibstudent04;1;-1584483483;true;0.25912679040062736;1.0;Infinity;0;B;
dibstudent04--2016-09-25--11-53.log;dibstudent04;1;2089067175;true;0.13532778190852512;1.0;Infinity;0;B;
dibstudent04--2016-09-25--11-53.log;dibstudent04;1;-1499270204;true;0.15310621355409104;1.0;Infinity;0;B;
dibstudent04--2016-09-25--11-53.log;dibstudent04;1;-1147563413;true;0.28512358662819315;1.0;Infinity;0;B;
dibstudent04--2016-09-25--11-53.log;dibstudent04;2;-718126148;true;0.23975006109347663;1.0;Infinity;0;B;
dibstudent04--2016-09-25--11-53.log;dibstudent04;2;-1776462856;true;0.23975006109347663;1.0;Infinity;0;B;
